Question,Description,Views,UpVotes,Answers
Need help regarding dynamic allocation of memory in trees c++,"here is a short snippet of the code , im not really getting what is happening here because of the double pointer(pointer to pointer), im gonna figure it out later on but right now , im facing a error ...",6 ,0,0
Pytrends: Normalize data for a period of one year,"I want to extract Google Trends data via pytrends for one year in the past. If I use the request for the whole year I get weekly data, but I would want to have it daily. One possibility would be to ...",2 ,0,0
How can I power up my character? (unity 2d),"When my character touches the golden floor, I want him to gain special power for ten seconds. Special power is 3x point addition and 2x jumping force. I tried to use Coroutines but it doesn't work how ...",2 ,0,0
how to avoid full table scan when joining on one foreign key,"how to avoid full table scan when joining on one foreign in key below is my sql query when i use explain select it show the query is scanning all the table even with a where clause
SELECT ...",2 ,0,0
Unable to use fake.Clientset as a value of kubernetes.Interface,"I am trying to write some tests for a client-go app.
My method signature is the following
createJob(clientset *kubernetes.Interface)

So I am mocking like this:
import (
   testclient ""k8s.io/...",2 ,0,0
How does connect()'ing a bind()'ed socket in a forked process affect the socket in the parent?,"I am implementing a reliable, connection-oriented application over UDP (uni assignment). It is required that the server, after it receives an initial packet from the client and acknowledges it, ...",6 ,0,0
Prefect image processing workflow (on Dask). Workers accumulating memory undefinitely,"New to Prefect. Trying to use it to process a large dataset of 3d images.
It works nicely for a small subset of the dataset, but when I try it on the whole dataset I find that  ""Unmanaged memory&...",2 ,0,0
creating multiple blog posts using divs javascript,"I used the following code that allows for creating a ""blog post"" that is composed of multiple divs. I want that every time I click the button a new blog post is created but what actually ...",2 ,0,0
Combine rows within the same list of a list,"I have a list that contains two lists in which the first has three elements and the second has two elements. I want to row combine the elements from the same list. Here are some data:
list1 <- list(...",9 ,0,1
crontab doesn't run js script,"I open
crontab -e

Then I put:
* * * * * ~/.nvm/versions/node/v17.3.0/bin/node /home/ec2-user/app/packages/package1/test.js

I save the file, it immediatelly says that it installed the cron. So I ...",7 ,0,0
Combing INSERT and CASE SQL queries,Here are a couple of SQL queries that I am trying to either write as a single query or two queries. I have tried various possibilities that I could think of but non worked. I have a blank table tbl_Z. ...,5 ,0,0
Error: nested select statement: single-row subquery returns more than one row,"I am trying to fetch results from a query like:
Select abc, def,

     (Select distinct ghi from table1 where condition1, condition2)
    From table1
    Where condition3, condition4.

It throws the ...",5 ,0,0
Hibernate merge swapping columns,"I'm using mysql 5.7 (on RDS),
and java 8 oracle with hibernate:
hibernate-core 4.3.8 and hibernate-jpa-2.1-api 1.0.2.
I have 3 classes :
class,student,address.
class has one to many students.
student ...",3 ,0,0
GSI capacity mode will be on-demand when primary Table has on-demand capacity mode?,"GSI capacity mode will be on-demand when primary Table has on-demand capacity mode?
I am not able to find this information on the AWS documentation. Though what I am able to find is: RCU and WCU(...",3 ,0,0
npx create-react-app network connectivity error,"npm ERR! code ERR_SOCKET_TIMEOUT

npm ERR! errno ERR_SOCKET_TIMEOUT

npm ERR! network Invalid response body while trying to fetch https://registry.npmjs.org/eslint: Socket timeout
npm ERR! network ...",3 ,0,0
Converting SVG with Flutter Shape Maker Generates undefined name NaN,"Hi flutter/stack noob arriving,
Customized some SVG icons and used the Flutter Shape Maker tool to convert them.
Most of them work, though my hamburger icon does not properly convert.
The tool ...",3 ,0,0
How to delete margin from item when wrapping in React native?,"I have the first View with flexWrap: 'wrap'. How can i delete the marginLeft from <View style={{ marginLeft: 16 }}> when it goes to the line ?


    <View style={{
     flexDirection: 'row',...",3 ,0,0
"Is there a way to calculate the standard deviation of a given range in excel, based on a cell entry in another column?",I am trying to use a specific entry in excel that will find all matches in a column and calculate the standard deviation of the range for data in another column that match.  Let's say I have the entry ...,3 ,0,0
Why is htaccess content visible on page?,"I'm looking at a wordpress installation for a friend and I can see that loading any page shows the htaccess contents at the top of every page.
Viewing source on all pages shows the content is there ...",7 ,0,0
How to get data from a model outside of a function in a controller,"So I have created an after signup wicked wizard and I am trying to get the wizard steps dynamically from the account model DB but I can't see any easy way to do this.
I think the code executed outside ...",6 ,0,0
